# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: /home/jpsb/git-projects/projeto-labdigi/extra/note_genius.csv
# Generated on: Sat Mar 25 22:43:12 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
db_estado[3],Output,PIN_A21,6,B6_N0,PIN_A21,2.5 V,,,,,
db_estado[2],Output,PIN_B19,7,B7_N0,PIN_B19,2.5 V,,,,,
db_estado[1],Output,PIN_A20,7,B7_N0,PIN_A20,2.5 V,,,,,
db_estado[0],Output,PIN_B20,6,B6_N0,PIN_B20,2.5 V,,,,,
db_jogada[6],Output,PIN_E17,6,B6_N0,PIN_E17,2.5 V,,,,,
db_jogada[5],Output,PIN_D19,6,B6_N0,PIN_D19,2.5 V,,,,,
db_jogada[4],Output,PIN_C20,6,B6_N0,PIN_C20,2.5 V,,,,,
db_jogada[3],Output,PIN_C19,7,B7_N0,PIN_C19,2.5 V,,,,,
db_jogada[2],Output,PIN_E21,6,B6_N0,PIN_E21,2.5 V,,,,,
db_jogada[1],Output,PIN_E22,6,B6_N0,PIN_E22,2.5 V,,,,,
db_jogada[0],Output,PIN_F21,6,B6_N0,PIN_F21,2.5 V,,,,,
db_nota[11],Output,,,,PIN_R18,,,,,,
db_nota[10],Output,,,,PIN_H22,,,,,,
db_nota[9],Output,,,,PIN_G22,,,,,,
db_nota[8],Output,,,,PIN_P19,,,,,,
db_nota[7],Output,,,,PIN_P20,,,,,,
db_nota[6],Output,,,,PIN_T19,,,,,,
db_nota[5],Output,,,,PIN_T18,,,,,,
db_nota[4],Output,,,,PIN_P18,,,,,,
db_nota[3],Output,,,,PIN_G19,,,,,,
db_nota[2],Output,,,,PIN_F22,,,,,,
db_nota[1],Output,,,,PIN_H14,,,,,,
db_nota[0],Output,,,,PIN_E11,,,,,,
db_nota_correta[6],Output,PIN_F20,6,B6_N0,PIN_F20,2.5 V,,,,,
db_nota_correta[5],Output,PIN_F19,6,B6_N0,PIN_F19,2.5 V,,,,,
db_nota_correta[4],Output,PIN_H19,6,B6_N0,PIN_H19,2.5 V,,,,,
db_nota_correta[3],Output,PIN_J18,6,B6_N0,PIN_J18,2.5 V,,,,,
db_nota_correta[2],Output,PIN_E19,6,B6_N0,PIN_E19,2.5 V,,,,,
db_nota_correta[1],Output,PIN_E20,6,B6_N0,PIN_E20,2.5 V,,,,,
db_nota_correta[0],Output,PIN_F18,6,B6_N0,PIN_F18,2.5 V,,,,,
db_rodada[6],Output,PIN_N20,6,B6_N0,PIN_N20,2.5 V,,,,,
db_rodada[5],Output,PIN_N19,6,B6_N0,PIN_N19,2.5 V,,,,,
db_rodada[4],Output,PIN_M20,6,B6_N0,PIN_M20,2.5 V,,,,,
db_rodada[3],Output,PIN_N18,6,B6_N0,PIN_N18,2.5 V,,,,,
db_rodada[2],Output,PIN_L18,6,B6_N0,PIN_L18,2.5 V,,,,,
db_rodada[1],Output,PIN_K20,6,B6_N0,PIN_K20,2.5 V,,,,,
db_rodada[0],Output,PIN_J20,6,B6_N0,PIN_J20,2.5 V,,,,,
db_toca_nota,Output,PIN_B11,7,B7_N0,PIN_B11,2.5 V,,,,,
erros[13],Output,PIN_B17,7,B7_N0,PIN_B17,2.5 V,,,,,
erros[12],Output,PIN_A18,7,B7_N0,PIN_A18,2.5 V,,,,,
erros[11],Output,PIN_A17,7,B7_N0,PIN_A17,2.5 V,,,,,
erros[10],Output,PIN_B16,7,B7_N0,PIN_B16,2.5 V,,,,,
erros[9],Output,PIN_E18,6,B6_N0,PIN_E18,2.5 V,,,,,
erros[8],Output,PIN_D18,6,B6_N0,PIN_D18,2.5 V,,,,,
erros[7],Output,PIN_C18,7,B7_N0,PIN_C18,2.5 V,,,,,
erros[6],Output,PIN_C17,7,B7_N0,PIN_C17,2.5 V,,,,,
erros[5],Output,PIN_D17,7,B7_N0,PIN_D17,2.5 V,,,,,
erros[4],Output,PIN_E16,7,B7_N0,PIN_E16,2.5 V,,,,,
erros[3],Output,PIN_C16,7,B7_N0,PIN_C16,2.5 V,,,,,
erros[2],Output,PIN_C15,7,B7_N0,PIN_C15,2.5 V,,,,,
erros[1],Output,PIN_E15,7,B7_N0,PIN_E15,2.5 V,,,,,
erros[0],Output,PIN_C14,7,B7_N0,PIN_C14,2.5 V,,,,,
iniciar,Input,PIN_A7,7,B7_N0,PIN_A7,2.5 V,,,,,
msg_hex0[6],Output,,,,PIN_C21,,,,,,
msg_hex0[5],Output,,,,PIN_D22,,,,,,
msg_hex0[4],Output,,,,PIN_F16,,,,,,
msg_hex0[3],Output,,,,PIN_J15,,,,,,
msg_hex0[2],Output,,,,PIN_J14,,,,,,
msg_hex0[1],Output,,,,PIN_K14,,,,,,
msg_hex0[0],Output,,,,PIN_G17,,,,,,
msg_hex1[6],Output,,,,PIN_A19,,,,,,
msg_hex1[5],Output,,,,PIN_A16,,,,,,
msg_hex1[4],Output,,,,PIN_K15,,,,,,
msg_hex1[3],Output,,,,PIN_L15,,,,,,
msg_hex1[2],Output,,,,PIN_E10,,,,,,
msg_hex1[1],Output,,,,PIN_M18,,,,,,
msg_hex1[0],Output,,,,PIN_L19,,,,,,
msg_hex2[6],Output,,,,PIN_U21,,,,,,
msg_hex2[5],Output,,,,PIN_L22,,,,,,
msg_hex2[4],Output,,,,PIN_H20,,,,,,
msg_hex2[3],Output,,,,PIN_E14,,,,,,
msg_hex2[2],Output,,,,PIN_R15,,,,,,
msg_hex2[1],Output,,,,PIN_J13,,,,,,
msg_hex2[0],Output,,,,PIN_L20,,,,,,
msg_hex3[6],Output,,,,PIN_N14,,,,,,
msg_hex3[5],Output,,,,PIN_M15,,,,,,
msg_hex3[4],Output,,,,PIN_N15,,,,,,
msg_hex3[3],Output,,,,PIN_H17,,,,,,
msg_hex3[2],Output,,,,PIN_H21,,,,,,
msg_hex3[1],Output,,,,PIN_C13,,,,,,
msg_hex3[0],Output,,,,PIN_G20,,,,,,
msg_hex4[6],Output,,,,PIN_P22,,,,,,
msg_hex4[5],Output,,,,PIN_M14,,,,,,
msg_hex4[4],Output,,,,PIN_D21,,,,,,
msg_hex4[3],Output,,,,PIN_N21,,,,,,
msg_hex4[2],Output,,,,PIN_L14,,,,,,
msg_hex4[1],Output,,,,PIN_M21,,,,,,
msg_hex4[0],Output,,,,PIN_R22,,,,,,
msg_hex5[6],Output,,,,PIN_D15,,,,,,
msg_hex5[5],Output,,,,PIN_U22,,,,,,
msg_hex5[4],Output,,,,PIN_K18,,,,,,
msg_hex5[3],Output,,,,PIN_F17,,,,,,
msg_hex5[2],Output,,,,PIN_H18,,,,,,
msg_hex5[1],Output,,,,PIN_M22,,,,,,
msg_hex5[0],Output,,,,PIN_K19,,,,,,
pronto,Output,PIN_A8,7,B7_N0,PIN_A8,2.5 V,,,,,
reset,Input,PIN_B8,7,B7_N0,PIN_B8,2.5 V,,,,,
sel_dificuldade[3],Input,PIN_F15,7,B7_N0,PIN_F15,2.5 V,,,,,
sel_dificuldade[2],Input,PIN_B14,7,B7_N0,PIN_B14,2.5 V,,,,,
sel_dificuldade[1],Input,PIN_A14,7,B7_N0,PIN_A14,2.5 V,,,,,
sel_dificuldade[0],Input,PIN_A13,7,B7_N0,PIN_A13,2.5 V,,,,,
sel_modo[1],Input,PIN_B12,7,B7_N0,PIN_B12,2.5 V,,,,,
sel_modo[0],Input,PIN_A12,7,B7_N0,PIN_A12,2.5 V,,,,,
sinal_buzzer,Output,PIN_AA2,3,B3_N0,PIN_AA2,2.5 V,,,,,
tb_nota_correta_raw[11],Output,,,,PIN_P15,,,,,,
tb_nota_correta_raw[10],Output,,,,PIN_K21,,,,,,
tb_nota_correta_raw[9],Output,,,,PIN_P14,,,,,,
tb_nota_correta_raw[8],Output,,,,PIN_T21,,,,,,
tb_nota_correta_raw[7],Output,,,,PIN_R14,,,,,,
tb_nota_correta_raw[6],Output,,,,PIN_N22,,,,,,
tb_nota_correta_raw[5],Output,,,,PIN_K22,,,,,,
tb_nota_correta_raw[4],Output,,,,PIN_P21,,,,,,
tb_nota_correta_raw[3],Output,,,,PIN_T20,,,,,,
tb_nota_correta_raw[2],Output,,,,PIN_J21,,,,,,
tb_nota_correta_raw[1],Output,,,,PIN_R20,,,,,,
tb_nota_correta_raw[0],Output,,,,PIN_J22,,,,,,
