# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: /home/jpsb/git-projects/projeto-labdigi/wiring/note_genius.csv
# Generated on: Wed Mar 22 22:16:44 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
db_nota_aleatoria[1],Output,PIN_Y20,4A,B4A_N0,,,,,,,,,,,,,,
db_nota_aleatoria[0],Output,PIN_U20,4A,B4A_N0,,,,,,,,,,,,,,
db_rodada[6],Output,PIN_W19,4A,B4A_N0,,,,,,,,,,,,,,
db_rodada[5],Output,PIN_C2,2A,B2A_N0,,,,,,,,,,,,,,
db_rodada[4],Output,PIN_C1,2A,B2A_N0,,,,,,,,,,,,,,
db_rodada[3],Output,PIN_P14,4A,B4A_N0,,,,,,,,,,,,,,
db_rodada[2],Output,PIN_T14,4A,B4A_N0,,,,,,,,,,,,,,
db_rodada[1],Output,PIN_M8,3B,B3B_N0,,,,,,,,,,,,,,
db_rodada[0],Output,PIN_N9,3B,B3B_N0,,,,,,,,,,,,,,
db_toca_nota,Output,PIN_H16,7A,B7A_N0,,,,,,,,,,,,,,
erros[13],Output,PIN_U22,4A,B4A_N0,,,,,,,,,,,,,,
erros[12],Output,PIN_AA17,4A,B4A_N0,,,,,,,,,,,,,,
erros[11],Output,PIN_AB18,4A,B4A_N0,,,,,,,,,,,,,,
erros[10],Output,PIN_AA18,4A,B4A_N0,,,,,,,,,,,,,,
erros[9],Output,PIN_AA19,4A,B4A_N0,,,,,,,,,,,,,,
erros[8],Output,PIN_AB20,4A,B4A_N0,,,,,,,,,,,,,,
erros[7],Output,PIN_AA20,4A,B4A_N0,,,,,,,,,,,,,,
erros[6],Output,PIN_AA22,4A,B4A_N0,,,,,,,,,,,,,,
erros[5],Output,PIN_Y21,4A,B4A_N0,,,,,,,,,,,,,,
erros[4],Output,PIN_Y22,4A,B4A_N0,,,,,,,,,,,,,,
erros[3],Output,PIN_W21,4A,B4A_N0,,,,,,,,,,,,,,
erros[2],Output,PIN_W22,4A,B4A_N0,,,,,,,,,,,,,,
erros[1],Output,PIN_V21,4A,B4A_N0,,,,,,,,,,,,,,
erros[0],Output,PIN_U21,4A,B4A_N0,,,,,,,,,,,,,,
iniciar,Input,PIN_C16,7A,B7A_N0,,,,,,,,,,,,,,
iniciar_tradicional,Input,PIN_H15,7A,B7A_N0,,,,,,,,,,,,,,
pronto,Output,PIN_A12,7A,B7A_N0,,,,,,,,,,,,,,
reset,Input,PIN_B16,7A,B7A_N0,,,,,,,,,,,,,,
sinal_buzzer,Output,PIN_T15,5A,B5A_N0,,,,,,,,,,,,,,
tb_nota_aleatoria_raw[11],Output,,,,,,,,,,,,,,,,,
tb_nota_aleatoria_raw[10],Output,,,,,,,,,,,,,,,,,
tb_nota_aleatoria_raw[9],Output,,,,,,,,,,,,,,,,,
tb_nota_aleatoria_raw[8],Output,,,,,,,,,,,,,,,,,
tb_nota_aleatoria_raw[7],Output,,,,,,,,,,,,,,,,,
tb_nota_aleatoria_raw[6],Output,,,,,,,,,,,,,,,,,
tb_nota_aleatoria_raw[5],Output,,,,,,,,,,,,,,,,,
tb_nota_aleatoria_raw[4],Output,,,,,,,,,,,,,,,,,
tb_nota_aleatoria_raw[3],Output,,,,,,,,,,,,,,,,,
tb_nota_aleatoria_raw[2],Output,,,,,,,,,,,,,,,,,
tb_nota_aleatoria_raw[1],Output,,,,,,,,,,,,,,,,,
tb_nota_aleatoria_raw[0],Output,,,,,,,,,,,,,,,,,
